Title,Year,Directors
DHAAI AKSHAR PREM KE,2000,RAJ KANWAR
DHARAM KARAM,1975,RANDHIR KAPOOR
DHARANIMANDALA MADHYADOLAGE,1983,PUTTANA KANAGAL
DHARATICHI LEKARE,1965,NEELKANTH MAGDUM
DHARAVI / QUICKSAND,1991,SUDHIR MISHRA
DHARMAM TALAI KAKKUM,1963,M.A. THIRUMAGAM
DHARMAPUTRA,1961,YASH CHOPRA
DHARTI KE LAL,1946,K.A. ABBAS
DHOOL KA PHOOL,1959,YASH CHOPRA
DHOOLI,1954,PINAKI MUKHERJEE
DHUMDHADAKA,1985,MAHESH KOTHARE
DHUN,1953,KUMAR
DIAMOND QUEEN,1940,J.B.H. WADIA
DIARY OF A HOUSE WIFE,2002,VINOD SUKUMARAN
DIBA RATRIR KABYA,1970,B. BHOWMICK & N.CHAKRABORTY
DIGAMBARA SWAMIYAR,1950,T.R. SUNDARAM
DIKKATRA PARVATHI,1973,SINGEETHAM SRINIVAS RAO
DIL,1990,INDRAKUMAR ASHOK THAKERIA
DIL CHAHTA HAI,2001,FARHAN AKHTAR
DIL DEKE DEKHO,1959,NASIR HUSSAIN
DIL EK MANDIR,1963,C.V. SRIDHAR
DIL HI TO HAI,1963,P.L. SANTOSHI & C.L. RAWAL
DIL KI PYAAS,1935,J.J. MADAN & SOHRAB KERAWALA
DIL KI RANI,1947,MOHAN SINHA
DIL NE PHIR YAAD KIYA,1967,C.L. RAWAL
DILLAGI,1949,A.R. KARDAR
DILWALE,1994,HARRY BAWEJA
DINANTER ALO,1965,MANGAL CHAKRABORTY
DISHA,2000,NANDKUMAR SADAMATE
DISTRICT OFFICER,1942,EZRA MIR & BHASKAR RAO
DIWANA,1992,RAJ KANWAR
DO AANKHEN BARAH HAATH,1957,V. SHANTARAM
